Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,58384.0,-487.88608595139016,5.727180298550763,4.8788608595139005,4.7219999999999995,272.0358314131986
1,Slytherin,Erich,Paredes,1999-10-14,Right,67239.0,-552.0605073421984,-5.987445780050746,5.520605073421985,-5.612,-487.3405572673422
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,23702.0,-366.0761168823237,7.7250166064392305,3.6607611688232367,6.14,664.8935212343011
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,32667.0,697.742808842469,-6.4972144445985505,-6.9774280884246895,4.026,-537.0011283872882
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,60158.0,436.7752035539525,-7.820623052454388,,2.2359999999999998,-444.2625366004496
5,Slytherin,Corrine,Hammond,1999-04-04,Right,21209.0,-613.6871603822729,-4.289196726941419,6.136871603822727,-6.5920000000000005,-440.99770426820817
6,Gryffindor,Tom,Guido,2000-09-30,Left,49167.0,628.0460512248516,-4.861976240490781,-6.280460512248515,,-926.8925116349667
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,33010.0,411.4127268406701,5.931831618301035,-4.114127268406701,2.7689999999999997,-502.0213360777252
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,20278.0,496.3949449852823,-5.215891145868072,-4.963949449852823,5.855,-626.552041128547
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,46316.0,527.1935850836812,7.922205496177112,-5.271935850836812,3.3560000000000003,-398.1019908932312
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,35619.0,604.9339619176021,5.484188547740066,-6.049339619176023,5.358,-530.7958955569857
11,Hufflepuff,Neville,Hall,2001-02-16,Left,46550.0,438.55694958685325,5.320518357754184,-4.385569495868531,3.014,-518.5607177463045
12,Hufflepuff,Rocky,Trask,2000-03-13,Right,26647.0,709.0946138370517,1.7053889315251418,-7.0909461383705175,7.091,-328.7129552924333
13,Slytherin,Fred,Simms,1997-02-27,Left,37984.0,-544.1920488261749,-7.308855989623728,5.441920488261747,-6.18,-319.94687532983534
14,Ravenclaw,Jan,Saylor,1998-03-16,Right,44791.0,-197.52731769185084,2.7424444339618588,1.9752731769185083,6.603,527.3563229707513
15,Ravenclaw,Long,Burks,2001-10-03,Left,21630.0,-447.6498122360021,4.046727136762162,4.476498122360021,4.949,810.1544831409043
16,Gryffindor,Fran,Jorgensen,1997-09-23,Left,41907.0,470.65375662672136,-5.518263685781008,-4.7065375662672135,4.425,-434.2932661222959
17,Gryffindor,Freddie,Ward,2001-05-31,Left,58796.0,651.1987485578007,-4.8207708528931414,-6.5119874855780076,4.357,-468.2847232096298
18,Ravenclaw,Tyrone,Cooley,2000-03-09,Right,15578.0,-151.08820873346482,6.8718573378725765,1.510882087334648,7.9060000000000015,645.4474512014251
19,Hufflepuff,Elden,Scholl,1999-04-18,Right,56909.0,458.1270261474805,6.981588542540248,-4.581270261474805,5.686,-579.6685909175318
20,Gryffindor,Mel,Marion,1998-12-20,Left,,703.5535475473841,-3.858216489463063,-7.035535475473843,5.8660000000000005,-433.25035863215834
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,31882.0,689.3561417314064,-5.76315776392788,-6.8935614173140625,5.942,-16.519432386501975
22,Ravenclaw,Joseph,Coulter,2001-08-22,Left,39873.0,-264.6783109979997,5.949951054189216,2.6467831099799968,6.829,745.4656657154428
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,44987.0,673.1671096812503,0.13151630549744284,-6.731671096812503,9.421,-709.6964283834683
24,Ravenclaw,Esther,Li,2001-08-02,Left,79537.0,-511.2264383563732,7.963183549223157,5.1122643835637325,5.769,419.7555989776198
25,Hufflepuff,Lucio,Wray,1999-01-21,Left,46505.0,508.1611883528949,6.11314406193578,-5.081611883528949,3.284,-387.5559813493135
26,Slytherin,Araceli,Flint,1998-03-01,Left,66246.0,-419.02208521911433,-6.655229617697697,4.1902208521911435,-6.006,-322.019869231814
27,Hufflepuff,Georgianna,Wooten,2000-01-18,Right,32991.0,612.5930323684191,4.166334753886695,-6.125930323684193,5.142,-528.8095274677344
28,Gryffindor,Mimi,Baird,1997-05-22,Left,40401.0,236.8888790015881,-5.077751004602562,-2.3688887900158813,5.517,-544.7589088830549
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,48832.0,458.3420379432199,3.331786028979228,-4.583420379432199,5.794,-357.1443808641858
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,48984.0,600.0813499884385,3.464527018807125,-6.0008134998843845,6.881,-678.5236439998978
31,Gryffindor,Kermit,Craft,2000-11-18,Left,58112.0,514.3419372851155,-2.832054657210328,-5.143419372851155,5.754,-685.1710296006307
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,56259.0,-301.4833725111648,4.470596381712079,3.0148337251116484,6.545,887.0278523685254
33,Hufflepuff,Julie,Connolly,1998-05-29,Right,54477.0,413.5749839598835,4.907536817133842,-4.135749839598836,3.259,-363.0965932034584
34,Ravenclaw,Granville,Mulligan,2001-05-08,Right,71169.0,-766.5199010356482,4.98546710874463,7.665199010356482,,670.6124148280203
35,Ravenclaw,Hannah,Canady,1998-11-06,Right,44450.0,-279.0010918745341,7.198095103701769,2.790010918745341,6.977,251.7144465726503
36,Hufflepuff,Lucien,Burt,1998-06-03,Right,43212.0,569.2137823348702,6.738672109965893,-5.692137823348701,5.141,-383.95285985132637
37,Hufflepuff,Julia,Montez,2001-05-04,Right,59927.0,384.37314002707774,6.690899582239733,-3.8437314002707774,6.617000000000001,-715.2215547883462
38,Slytherin,Wendell,Ratcliff,1997-08-14,Right,40775.0,-619.3515715066602,-8.887563696339651,6.193515715066601,-6.92,-267.62216563601805
39,Gryffindor,Angela,Han,1999-09-02,Right,36947.0,595.093516815514,-4.5399626259008725,-5.950935168155142,5.825,-526.992894168597
40,Gryffindor,Ben,Southard,2001-03-22,Left,52334.0,494.083695769108,-4.853242383525319,-4.94083695769108,5.4220000000000015,-413.78262153792434
41,Hufflepuff,Orville,Hebert,1996-11-19,Right,29293.0,486.4150306274456,5.475306512698818,-4.864150306274456,6.614,-438.34397889607584
42,Ravenclaw,Julianne,Forrest,1999-04-23,Left,41965.0,-591.878579651734,6.603584822402266,5.91878579651734,3.217,388.55508009407134
43,Hufflepuff,Rosanna,Rinaldi,1997-07-22,Right,44741.0,432.5608992333849,3.8529080471086825,-4.325608992333849,2.2680000000000002,-275.7517474501566
44,Hufflepuff,Jerald,Woodworth,1998-12-17,Left,51536.0,440.0873111670082,5.1722758619274565,-4.400873111670082,4.542,-601.1879804095211
45,Ravenclaw,Letha,Kim,2000-05-17,Right,73385.0,-415.0263289492602,7.254609476514043,4.150263289492602,6.916,489.1024503769474
46,Ravenclaw,Laverne,Burrow,2000-11-04,Left,59112.0,-390.7121666260828,4.3721050124103655,3.907121666260829,4.588,473.1527272589132
47,Hufflepuff,Chelsey,Barney,1997-06-09,Right,52190.0,496.1748495670465,4.660387161137372,-4.961748495670465,5.138999999999999,-507.79656710679564
48,Slytherin,Lorna,Graves,2000-03-28,Left,68570.0,-387.74483245021133,-4.604619969975151,3.8774483245021134,-6.945,-419.16429373366526
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,53157.0,642.0668078877801,-3.731583390209028,-6.4206680788777994,5.537000000000001,-430.8413869051128
50,Gryffindor,Israel,Roach,1999-03-23,Right,42836.0,420.6281622512083,-5.996391408199898,-4.206281622512083,4.066,-490.6709728461078
51,Slytherin,Gene,Southerland,1997-11-18,Right,47880.0,-508.0961662440525,-5.3151173064857415,5.080961662440525,-7.952000000000001,-460.66974594553113
52,Slytherin,Adelina,Bivins,1999-08-28,Right,40993.0,-659.0745091004828,-1.3897815697389886,6.5907450910048295,-4.6530000000000005,-707.6370173199118
53,Ravenclaw,Tabatha,Lu,2001-10-14,Right,65458.0,-518.0808291697741,4.401277678206937,5.180808291697742,6.267,412.67710381763453
54,Gryffindor,Rena,Conners,2000-01-03,Left,44262.0,442.5297807980382,-4.159918828909026,-4.425297807980382,5.766,-725.1181562349636
55,Slytherin,Sallie,Olivares,2001-05-08,Left,68337.0,-240.5808380546587,-8.466872317161561,2.4058083805465857,-3.055,-362.5056034493952
56,Hufflepuff,Kirby,Toscano,1998-11-20,Left,37503.0,655.7822946950319,4.013761055058096,-6.557822946950319,,-565.2083930793641
57,Slytherin,Tammi,Dexter,1997-03-15,Right,54555.0,-400.74189368019563,-4.149147757648881,4.007418936801956,-4.711,-479.519923618225
58,Hufflepuff,Santo,Call,1999-11-09,Right,18882.0,679.9441148751796,4.749802945846046,-6.7994411487517965,2.991,-361.6947070580284
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,45361.0,579.2673013893152,-4.8126746857821265,-5.792673013893156,5.5889999999999995,-286.93824511056187
60,Slytherin,Vincenzo,Seaton,1997-05-29,Right,51703.0,-461.4093394908483,-5.8872827743486225,4.614093394908483,-6.869,-334.1827270884367
61,Ravenclaw,Patti,Montano,1998-03-24,Left,44262.0,-352.50013096293725,5.501649628380539,3.5250013096293724,6.285,757.775542692951
62,Hufflepuff,Bobby,Ezell,1997-07-18,Left,62083.0,432.2355311779952,4.760955687348787,-4.32235531177995,5.584,-443.2561433856852
63,Hufflepuff,Valentine,Benavidez,1996-12-13,Right,70512.0,191.66200704041302,4.712187320128479,-1.9166200704041303,5.615,-810.1462515885353
64,Hufflepuff,Dollie,Gibson,1998-01-14,Right,55840.0,326.22171982116316,7.407129158171243,-3.2622171982116317,5.6979999999999995,-603.3918929741014
65,Hufflepuff,Jessica,Tanner,1999-12-11,Left,73353.0,376.58535593551886,4.537302114503309,-3.7658535593551887,6.843,-705.9976763015817
66,Hufflepuff,Bart,Burnside,2000-03-20,Right,64219.0,405.57572877883433,4.3478957474584,-4.055757287788343,5.813,-897.8370960082959
67,Ravenclaw,Sydney,Lamar,1996-12-19,Right,30461.0,-608.1609661362443,7.030299546150498,6.0816096613624415,3.873,110.63657300399299
68,Gryffindor,Lesley,Conley,2000-02-08,Left,39225.0,546.1048515582914,-5.177676827131712,-5.461048515582916,5.2360000000000015,-478.2053839467278
69,Hufflepuff,Tia,Shoemaker,2000-01-03,Right,58659.0,558.9850768521734,7.199280557305688,-5.589850768521735,3.763,-384.84017139647807
70,Ravenclaw,Milo,Wicks,1997-05-10,Right,,-189.27003255905223,4.7061151410689135,1.892700325590522,7.776,636.457836760555
71,Slytherin,Chauncey,Ambrose,1997-09-23,Right,56313.0,-463.6502500606741,-2.457738111279645,4.636502500606741,-3.523,-497.6966702112428
72,Slytherin,Robbin,Cortez,1998-09-21,Right,37901.0,-508.0190338128575,-4.0790188726094065,5.080190338128575,-5.725,
73,Hufflepuff,Mellisa,Musgrove,1999-01-26,Left,46240.0,530.227319204472,6.551776365317947,-5.302273192044719,3.148,-576.4826954194305
74,Ravenclaw,Alexander,Ashworth,1998-10-12,Left,54847.0,-203.96737761219387,3.998021154306869,2.039673776121939,7.718,806.681413559967
75,Hufflepuff,Jessie,Madden,2000-11-11,Left,54986.0,440.84382623089516,6.506027505582906,-4.408438262308951,4.794,-392.97603948152664
76,Ravenclaw,Marcos,Pfeifer,2000-11-15,Left,69442.0,-557.4308145437269,7.632078695509895,5.57430814543727,5.269,638.1494093440018
77,Ravenclaw,Bess,Browne,2001-08-14,Right,46350.0,-298.2622717840378,5.54437673886142,2.982622717840377,6.6579999999999995,432.3369006341099
78,Hufflepuff,Marilynn,Maki,2001-01-06,Left,70868.0,349.7348064996019,2.2628549354313416,-3.4973480649960202,4.612,-569.1749940807236
79,Hufflepuff,Seth,Conaway,1999-09-18,Right,68359.0,418.6807819064729,2.3987267447642164,-4.186807819064732,5.468,-521.3102149343797
80,Hufflepuff,Concepcion,Wilkinson,1999-06-19,Left,46079.0,474.2898484815368,2.8237462830384312,-4.742898484815368,4.681,-404.59594543529136
81,Slytherin,Antonette,Falcon,1999-08-01,Right,11030.0,,-6.842722845903242,7.840030898335224,-3.253,-659.4140302422647
82,Slytherin,Arnold,Kersey,1998-06-12,Right,37887.0,-515.8409219526714,-6.540225265528053,5.158409219526714,-7.4910000000000005,-497.8380424628671
83,Gryffindor,Rosita,Riddick,2001-09-27,Right,56134.0,336.0623367778062,-4.917391145130838,-3.360623367778062,5.402,-506.97699448819606
84,Hufflepuff,German,Bronson,2000-06-22,Right,58549.0,477.18915910727776,4.6698509754366935,-4.7718915910727775,6.445,-742.8481132871193
85,Hufflepuff,Hallie,Slade,2001-04-10,Left,51592.0,404.63063954915225,3.2481628597843266,-4.046306395491522,6.27,-405.99285129636655
86,Hufflepuff,Rufus,Geiger,2000-06-29,Right,20807.0,661.1120436579648,5.070565395322594,-6.611120436579647,4.824,-275.12948676839557
87,Hufflepuff,Shanna,Reuter,2000-02-06,Left,32491.0,793.0759523309309,5.613896018167057,-7.930759523309311,4.977,-533.3751884407543
88,Hufflepuff,Marion,Galindo,2000-02-23,Left,47052.0,561.6559199596363,6.154023758537017,-5.616559199596363,3.7489999999999997,-246.9314297363984
89,Gryffindor,Aisha,Steffen,2000-02-08,Right,67687.0,239.69576421273362,-3.4640191301689454,-2.396957642127336,5.25,-602.3663235488892
90,Gryffindor,Tabatha,Bartlett,2000-02-13,Right,47749.0,473.9594644537471,-5.203283992057737,-4.739594644537472,5.212999999999999,-598.1996765989197
91,Gryffindor,Oma,Prosser,1998-07-26,Left,60337.0,308.54461787237733,-3.6096540503280985,-3.085446178723773,6.882999999999999,-231.057459318709
92,Ravenclaw,Florine,Crabtree,1999-04-04,Left,38317.0,-345.89128549463555,6.96155360435082,3.4589128549463566,5.8610000000000015,465.421011142633
93,Hufflepuff,Glenna,Rodman,2000-02-07,Right,86521.0,236.8861914184944,3.889555606890064,-2.368861914184944,,-334.6255678679438
94,Hufflepuff,Sarah,Mccurdy,2000-05-24,Right,40041.0,423.72970727890487,7.297099109535134,-4.237297072789048,5.725,-413.6913707528254
95,Hufflepuff,Vesta,Rodman,2000-02-19,Left,32995.0,737.2957435720047,4.380005410809342,-7.372957435720048,5.415,-353.1070078725637
96,Gryffindor,Gabriella,Snook,1999-04-05,Left,40377.0,529.1895411283647,-3.7856221594879567,-5.291895411283647,5.922999999999999,-645.3830056545745
97,Ravenclaw,Billie,Irvine,1998-03-23,Left,48416.0,-454.6973968449776,4.1521893682783775,4.546973968449776,5.4639999999999995,587.6877059480232
98,Slytherin,Allison,Ketchum,1998-07-20,Right,35796.0,-662.4667943509653,-4.4429124927184365,6.624667943509652,-3.542,-624.8435109690846
99,Hufflepuff,Dovie,Darden,1997-10-09,Right,72219.0,385.25969529995973,5.81125399995247,-3.8525969529995976,4.1080000000000005,-507.4167192404275
